province,city,district,lng,lat,level
北京市,,,116.405285,39.904989,province
北京市,北京市,东城区,116.418757,39.917544,district
北京市,北京市,西城区,116.366794,39.915309,district
北京市,北京市,朝阳区,116.486409,39.921489,district
北京市,北京市,丰台区,116.286968,39.863642,district
北京市,北京市,石景山区,116.195445,39.914601,district
北京市,北京市,海淀区,116.310316,39.956074,district
北京市,北京市,门头沟区,116.105381,39.937183,district
北京市,北京市,房山区,116.139157,39.735535,district
北京市,北京市,通州区,116.658603,39.902486,district
北京市,北京市,顺义区,116.653525,40.128936,district
北京市,北京市,昌平区,116.235906,40.218085,district
北京市,北京市,大兴区,116.338033,39.728908,district
北京市,北京市,怀柔区,116.637122,40.324272,district
北京市,北京市,平谷区,117.112335,40.144783,district
北京市,北京市,密云区,116.843352,40.377362,district
北京市,北京市,延庆区,115.985006,40.465325,district
天津市,,,117.190182,39.125596,province
天津市,天津市,和平区,117.195907,39.118327,district
天津市,天津市,河东区,117.226568,39.122125,district
天津市,天津市,河西区,117.217536,39.101897,district
天津市,天津市,南开区,117.164143,39.120474,district
天津市,天津市,河北区,117.201569,39.156632,district
天津市,天津市,红桥区,117.163301,39.175066,district
天津市,天津市,东丽区,117.313967,39.087764,district
天津市,天津市,西青区,117.012247,39.139446,district
天津市,天津市,津南区,117.382549,38.989577,district
天津市,天津市,北辰区,117.13482,39.225555,district
天津市,天津市,武清区,117.057959,39.376925,district
天津市,天津市,宝坻区,117.308094,39.716965,district
天津市,天津市,滨海新区,117.654173,39.032846,district
天津市,天津市,宁河区,117.82828,39.328886,district
天津市,天津市,静海区,116.925304,38.935671,district
天津市,天津市,蓟州区,117.407449,40.045342,district
河北省,,,114.502461,38.045474,province
河北省,石家庄市,,114.502461,38.045474,city
河北省,石家庄市,长安区,114.548151,38.047501,district
河北省,石家庄市,桥西区,114.462931,38.028383,district
河北省,石家庄市,新华区,114.465974,38.067142,district
河北省,石家庄市,井陉矿区,114.058178,38.069748,district
河北省,石家庄市,裕华区,114.533257,38.027696,district
河北省,石家庄市,藁城区,114.849647,38.033767,district
河北省,石家庄市,鹿泉区,114.321023,38.093994,district
河北省,石家庄市,栾城区,114.654281,37.886911,district
河北省,石家庄市,井陉县,114.144488,38.033614,district
河北省,石家庄市,正定县,114.569887,38.147835,district
河北省,石家庄市,行唐县,114.552734,38.437422,district
河北省,石家庄市,灵寿县,114.37946,38.306546,district
河北省,石家庄市,高邑县,114.610699,37.605714,district
河北省,石家庄市,深泽县,115.200207,38.18454,district
河北省,石家庄市,赞皇县,114.387756,37.660199,district
河北省,石家庄市,无极县,114.977845,38.176376,district
河北省,石家庄市,平山县,114.184144,38.259311,district
河北省,石家庄市,元氏县,114.52618,37.762514,district
河北省,石家庄市,赵县,114.775362,37.754341,district
河北省,石家庄市,辛集市,115.217451,37.92904,district
河北省,石家庄市,晋州市,115.044886,38.027478,district
河北省,石家庄市,新乐市,114.68578,38.344768,district
河北省,唐山市,,118.175393,39.635113,city
河北省,唐山市,路南区,118.210821,39.615162,district
河北省,唐山市,路北区,118.174736,39.628538,district
河北省,唐山市,古冶区,118.45429,39.715736,district
河北省,唐山市,开平区,118.264425,39.676171,district
河北省,唐山市,丰南区,118.110793,39.56303,district
河北省,唐山市,丰润区,118.155779,39.831363,district
河北省,唐山市,曹妃甸区,118.446585,39.278277,district
河北省,唐山市,滦南县,118.681552,39.506201,district
河北省,唐山市,乐亭县,118.905341,39.42813,district
河北省,唐山市,迁西县,118.305139,40.146238,district
河北省,唐山市,玉田县,117.753665,39.887323,district
河北省,唐山市,遵化市,117.965875,40.188616,district
河北省,唐山市,迁安市,118.701933,40.012108,district
河北省,唐山市,滦州市,118.699546,39.74485,district
河北省,秦皇岛市,,119.586579,39.942531,city
河北省,秦皇岛市,海港区,119.596224,39.943458,district
河北省,秦皇岛市,山海关区,119.753591,39.998023,district
河北省,秦皇岛市,北戴河区,119.486286,39.825121,district
河北省,秦皇岛市,抚宁区,119.240651,39.887053,district
河北省,秦皇岛市,青龙满族自治县,118.954555,40.406023,district
河北省,秦皇岛市,昌黎县,119.164541,39.709729,district
河北省,秦皇岛市,卢龙县,118.881809,39.891639,district
河北省,邯郸市,,114.490686,36.612273,city
河北省,邯郸市,邯山区,114.484989,36.603196,district
河北省,邯郸市,丛台区,114.494703,36.611082,district
河北省,邯郸市,复兴区,114.458242,36.615484,district
河北省,邯郸市,峰峰矿区,114.209936,36.420487,district
河北省,邯郸市,肥乡区,114.805154,36.555778,district
河北省,邯郸市,永年区,114.496162,36.776413,district
河北省,邯郸市,临漳县,114.610703,36.337604,district
河北省,邯郸市,成安县,114.680356,36.443832,district
河北省,邯郸市,大名县,115.152586,36.283316,district
河北省,邯郸市,涉县,113.673297,36.563143,district
河北省,邯郸市,磁县,114.38208,36.367673,district
河北省,邯郸市,邱县,115.168584,36.81325,district
河北省,邯郸市,鸡泽县,114.878517,36.914908,district
河北省,邯郸市,广平县,114.950859,36.483603,district
河北省,邯郸市,馆陶县,115.289057,36.539461,district
河北省,邯郸市,魏县,114.93411,36.354248,district
河北省,邯郸市,曲周县,114.957588,36.773398,district
河北省,邯郸市,武安市,114.194581,36.696115,district
河北省,邢台市,,114.508851,37.0682,city
河北省,邢台市,襄都区,114.507131,37.064125,district
河北省,邢台市,信都区,114.473687,37.068009,district
河北省,邢台市,任泽区,114.684469,37.129952,district
河北省,邢台市,南和区,114.691377,37.003812,district
河北省,邢台市,临城县,114.506873,37.444009,district
河北省,邢台市,内丘县,114.511523,37.287663,district
河北省,邢台市,柏乡县,114.693382,37.483596,district
河北省,邢台市,隆尧县,114.776348,37.350925,district
河北省,邢台市,宁晋县,114.921027,37.618956,district
河北省,邢台市,巨鹿县,115.038782,37.21768,district
河北省,邢台市,新河县,115.247537,37.526216,district
河北省,邢台市,广宗县,115.142797,37.075548,district
河北省,邢台市,平乡县,115.029218,37.069404,district
河北省,邢台市,威县,115.272749,36.983272,district
河北省,邢台市,清河县,115.668999,37.059991,district
河北省,邢台市,临西县,115.498684,36.8642,district
河北省,邢台市,南宫市,115.398102,37.359668,district
河北省,邢台市,沙河市,114.504902,36.861903,district
河北省,保定市,,115.482331,38.867657,city
河北省,保定市,竞秀区,115.470659,38.88662,district
河北省,保定市,莲池区,115.500934,38.865005,district
河北省,保定市,满城区,115.32442,38.95138,district
河北省,保定市,清苑区,115.492221,38.771012,district
河北省,保定市,徐水区,115.64941,39.020395,district
河北省,保定市,涞水县,115.711985,39.393148,district
河北省,保定市,阜平县,114.198801,38.847276,district
河北省,保定市,定兴县,115.796895,39.266195,district
河北省,保定市,唐县,114.981241,38.748542,district
河北省,保定市,高阳县,115.778878,38.690092,district
河北省,保定市,容城县,115.866247,39.05282,district
河北省,保定市,涞源县,114.692567,39.35755,district
河北省,保定市,望都县,115.154009,38.707448,district
河北省,保定市,安新县,115.931979,38.929912,district
河北省,保定市,易县,115.501146,39.35297,district
河北省,保定市,曲阳县,114.704055,38.619992,district
河北省,保定市,蠡县,115.583631,38.496429,district
河北省,保定市,顺平县,115.132749,38.845127,district
河北省,保定市,博野县,115.461798,38.458271,district
河北省,保定市,雄县,116.107474,38.990819,district
河北省,保定市,涿州市,115.973409,39.485765,district
河北省,保定市,定州市,114.991389,38.517602,district
